id,Temperature,Light,CO2,value
0,22.315,461.5,548.0,1
1,22.29,454.0,546.25,1
2,22.323333333333306,454.0,542.666666666667,1
3,22.29,454.0,543.333333333333,1
4,22.315,450.25,551.75,1
5,22.29,439.0,555.0,1
6,22.29,439.0,552.75,1
7,22.29,439.0,555.0,1
8,22.29,439.0,554.0,1
9,22.29,439.0,556.5,1
10,22.29,439.0,565.0,1
11,22.2675,439.0,561.75,1
12,22.2675,439.0,570.25,1
13,22.23,439.0,576.0,1
14,22.26,439.0,577.333333333333,1
15,22.29,439.0,577.75,1
16,22.245,444.25,577.666666666667,1
17,22.2,453.0,582.75,1
18,22.2225,449.5,584.25,1
19,22.2225,445.5,585.0,1
20,22.2,441.5,591.75,1
21,22.2,441.75,596.25,1
22,22.2,434.0,602.0,1
23,22.2,434.0,605.75,1
24,22.2,444.0,605.0,1
25,22.2,439.0,596.5,1
26,22.2,444.0,593.5,1
27,22.2,444.0,595.0,1
28,22.1666666666667,444.0,596.0,1
29,22.175,444.0,594.25,1
30,22.1333333333333,444.0,596.333333333333,1
31,22.1,444.0,599.75,1
32,22.15,444.0,602.0,1
33,22.15,444.0,603.0,1
34,22.1,444.0,600.0,1
35,22.1,444.0,599.0,1
36,22.1,444.0,599.25,1
37,22.1,444.0,596.5,1
38,22.1,444.0,597.25,1
39,22.075,439.0,596.333333333333,1
40,22.075,435.0,598.4,1
41,22.1,429.0,601.0,1
42,22.1,429.0,599.5,1
43,22.075,429.0,606.75,1
44,22.0,429.0,606.75,1
45,22.033333333333307,429.0,606.0,1
46,22.05,429.0,612.5,1
47,22.0,429.0,610.5,1
48,22.0,433.5,620.75,1
49,22.0,438.0,626.0,1
50,22.0,436.0,623.0,1
51,22.0,438.0,626.5,1
52,21.963333333333306,441.0,625.0,1
53,22.0,438.0,623.0,1
54,22.0,438.0,623.5,1
55,22.0,423.5,624.0,1
56,22.0,423.5,621.5,1
57,22.0,423.5,621.0,1
58,21.9725,427.25,622.0,1
59,21.9725,423.5,623.5,1
60,21.89,433.0,622.0,1
61,21.945,433.0,623.25,1
62,21.9725,433.0,632.0,1
63,21.945,433.0,634.5,1
64,22.0,433.0,632.5,1
65,22.0,433.0,623.333333333333,1
66,22.0,433.0,619.333333333333,1
67,22.0,433.0,616.75,1
68,22.0,433.0,617.666666666667,1
69,22.0,433.0,616.0,1
70,22.0,433.0,616.333333333333,1
71,22.0,433.0,614.0,1
72,21.9725,433.0,615.0,1
73,21.945,426.0,607.5,1
74,22.0,422.5,610.0,1
75,22.0,418.5,614.0,1
76,22.0,433.0,629.0,1
77,22.0,433.0,635.0,1
78,22.0,422.5,645.5,1
79,22.0,423.666666666667,630.666666666667,1
80,22.0,421.8,631.0,1
81,21.963333333333306,419.0,625.666666666667,1
82,21.9175,419.0,625.75,1
83,21.9175,419.0,624.5,1
84,21.945,419.0,611.0,1
85,21.89,419.0,607.666666666667,1
86,21.9175,419.0,607.25,1
87,21.89,419.0,601.333333333333,1
88,21.89,279.33333333333303,603.666666666667,1
89,21.89,0.0,603.0,0
90,21.89,0.0,604.5,0
91,21.89,0.0,614.0,0
92,21.89,0.0,626.333333333333,0
93,21.89,0.0,626.5,0
94,21.89,0.0,623.0,0
95,21.89,0.0,620.0,0
96,21.89,0.0,619.0,0
97,21.89,0.0,617.5,0
98,21.89,0.0,613.5,0
99,21.89,0.0,616.0,0
100,21.89,0.0,622.5,0
101,21.89,0.0,618.666666666667,0
102,21.89,0.0,612.0,0
103,21.89,0.0,610.0,0
104,21.89,0.0,603.5,0
105,21.89,0.0,611.0,0
106,21.89,0.0,609.5,0
107,21.89,0.0,606.5,0
108,21.89,0.0,610.0,0
109,21.89,0.0,607.0,0
110,21.89,0.0,606.0,0
111,21.89,0.0,612.5,0
112,21.89,0.0,611.666666666667,0
113,21.89,0.0,617.0,0
114,21.89,0.0,608.5,0
115,21.89,0.0,606.0,0
116,21.89,0.0,612.5,0
117,21.89,0.0,610.5,0
118,21.89,0.0,612.666666666667,0
119,21.89,0.0,610.0,0
